name,source,source_book,best_candidate,similarity
Wither,sandstorm,Sandstorm,wither limb,0.706
Air Breathing,savage-species,Savage Species,water breathing,0.857
Awaken Construct,savage-species,Savage Species,"awaken, mass",0.571
Blindsight,savage-species,Savage Species,hindsight,0.842
Blood Wind,savage-species,Savage Species,second wind,0.667
Bridge of Sound,savage-species,Savage Species,orb of sound,0.741
Buoyant Lifting,savage-species,Savage Species,chain lightning,0.6
Cacophonic Burst,savage-species,Savage Species,cacophonic shield,0.727
Cloud Wings,savage-species,Savage Species,demon wings,0.636
Countermoon,savage-species,Savage Species,contagion,0.6
Crawling Darkness,savage-species,Savage Species,creeping darkness,0.824
Dawn,savage-species,Savage Species,awaken,0.6
Desiccating Bubble,savage-species,Savage Species,resonating bolt,0.606
Dissonant Chant,savage-species,Savage Species,dissonant chord,0.8
Dream Casting,savage-species,Savage Species,reanimation,0.667
Earth Reaver,savage-species,Savage Species,earth hammer,0.75
Extend Tentacles,savage-species,Savage Species,chilling tentacles,0.647
Fins to Feet,savage-species,Savage Species,insightful feint,0.571
Flame Whips,savage-species,Savage Species,force whip,0.667
Fuse Arms,savage-species,Savage Species,cause fear,0.632
Girallon's Blessing,savage-species,Savage Species,insigna of blessing,0.632
Hailstones,savage-species,Savage Species,hail of stone,0.783
Holy Star,savage-species,Savage Species,holy storm,0.842
Improved Blindsight,savage-species,Savage Species,overland flight,0.588
Improved Enlarge,savage-species,Savage Species,imperious glare,0.645
Improved Reduce,savage-species,Savage Species,"blink, improved",0.533
Incarnate Construct,savage-species,Savage Species,dominate monster,0.629
Inky Cloud,savage-species,Savage Species,stinking cloud,0.75
Jagged Tooth,savage-species,Savage Species,sharptooth,0.545
Laogzed's Breath,savage-species,Savage Species,last breath,0.741
Lion's Charge,savage-species,Savage Species,lion's roar,0.75
Major Resistance,savage-species,Savage Species,resistance,0.769
Maw of Chaos,savage-species,Savage Species,mantle of chaos,0.815
Minor Servitor,savage-species,Savage Species,minor creation,0.643
Plant Body,savage-species,Savage Species,plant growth,0.636
Rapid Burrowing,savage-species,Savage Species,acid arrow,0.64
Rejection,savage-species,Savage Species,resurrection,0.762
Skeletal Guard,savage-species,Savage Species,elemental ward,0.714
Sonorous Hum,savage-species,Savage Species,dolorous motes,0.615
Sound Lance,savage-species,Savage Species,guidance,0.632
Speak to Allies,savage-species,Savage Species,spark of life,0.714
Spell Flower,savage-species,Savage Species,shield other,0.583
Spider Plague,savage-species,Savage Species,insect plague,0.692
Stalking Spell,savage-species,Savage Species,reaving dispel,0.643
Stone Body,savage-species,Savage Species,iron body,0.737
Superior Resistance,savage-species,Savage Species,spell resistance,0.8
Undead Mask,savage-species,Savage Species,"death ward, mass",0.593
Vipergout,savage-species,Savage Species,vigor,0.571
Wall of Limbs,savage-species,Savage Species,wall of bones,0.769
Weapon of Energy,savage-species,Savage Species,weapon of the deity,0.743
Wings of the Sea,savage-species,Savage Species,wings of air,0.714
Arcane Maul,secrets-of-sarlona,Secrets of Sarlona,arcane mark,0.818
Dream Lock,secrets-of-sarlona,Secrets of Sarlona,dream walk,0.8
"Dream Lock, Mass",secrets-of-sarlona,Secrets of Sarlona,"heal, mass",0.692
Dream Spirit,secrets-of-sarlona,Secrets of Sarlona,dreaming puppet,0.593
Fleshbound,secrets-of-sarlona,Secrets of Sarlona,leaps and bounds,0.615
Flexform,secrets-of-sarlona,Secrets of Sarlona,fiendform,0.706
Fortify Metal or Stone,secrets-of-sarlona,Secrets of Sarlona,repel metal or stone,0.762
Lifebound,secrets-of-sarlona,Secrets of Sarlona,infernal wound,0.609
Raptor Cloud,secrets-of-sarlona,Secrets of Sarlona,dragon cloud,0.75
Stone Storm,secrets-of-sarlona,Secrets of Sarlona,stone fist,0.762
Stored Lightning Bolt,secrets-of-sarlona,Secrets of Sarlona,lightning bolt,0.8
Ability Rip,serpent-kingdoms,Serpent Kingdoms,vulnerability,0.583
Erupt,serpent-kingdoms,Serpent Kingdoms,oozepuppet,0.533
Fang Trap,serpent-kingdoms,Serpent Kingdoms,find traps,0.737
Handfang,serpent-kingdoms,Serpent Kingdoms,magic fang,0.556
Laogzed's Breath,serpent-kingdoms,Serpent Kingdoms,last breath,0.741
Lava Missile,serpent-kingdoms,Serpent Kingdoms,magic missile,0.72
Lava Splash,serpent-kingdoms,Serpent Kingdoms,acid splash,0.727
Razorscales,serpent-kingdoms,Serpent Kingdoms,corpse candle,0.583
Serpent Arrow,serpent-kingdoms,Serpent Kingdoms,flame arrow,0.583
Trait Removal,serpent-kingdoms,Serpent Kingdoms,train animal,0.64
Venom Bolt,serpent-kingdoms,Serpent Kingdoms,resonating bolt,0.56
Venomfire,serpent-kingdoms,Serpent Kingdoms,phoenix fire,0.571
Whirl of Fangs,serpent-kingdoms,Serpent Kingdoms,shield of warding,0.645
Arcane Seal,sharn-city-of-towers,Sharn: City of Towers,arcane eye,0.762
Force Hammer,sharn-city-of-towers,Sharn: City of Towers,chaos hammer,0.667
Shockwave,sharn-city-of-towers,Sharn: City of Towers,scare,0.571
Arcane Sensitivity,shining-south,Shining South,arcane sight,0.667
Brittleskin,shining-south,Shining South,barkskin,0.632
Circlet of Enervation,shining-south,Shining South,circle of death,0.722
Coral Growth,shining-south,Shining South,animal growth,0.72
Daltim's Fiery Tentacles,shining-south,Shining South,chilling tentacles,0.571
Darsson's Chilling Chamber,shining-south,Shining South,scintillating scales,0.522
Darsson's Cooling Breeze,shining-south,Shining South,dancing blade,0.541
Darsson's Fiery Furnace,shining-south,Shining South,bear's endurance,0.564
Dispel Fog,shining-south,Shining South,dispel good,0.762
"Entropic Shield, Mass",shining-south,Shining South,entropic shield,0.833
Fiery Vision,shining-south,Shining South,false vision,0.75
"Jump, Mass",shining-south,Shining South,"harm, mass",0.7
Kyristan's Malevolent Tentacles,shining-south,Shining South,chilling tentacles,0.49
Land Womb,shining-south,Shining South,blade storm,0.6
Lightning Fog,shining-south,Shining South,lightning bolt,0.815
Mycontil's Last Resort,shining-south,Shining South,continual flame,0.541
Protection from Winged Flyers,shining-south,Shining South,protection from energy,0.745
Redirect Spell,shining-south,Shining South,resilient sphere,0.6
Rock Catch,shining-south,Shining South,warlock's call,0.583
Rockburst,shining-south,Shining South,necrotic burst,0.696
Safe Clearing,shining-south,Shining South,scale weakening,0.643
Sea Legs,shining-south,Shining South,discern lies,0.6
Shuffle,shining-south,Shining South,shambler,0.533
Sparkles,shining-south,Shining South,spikes,0.714
Sticks and Stones,shining-south,Shining South,spike stones,0.69
Stone Trap,shining-south,Shining South,stone shape,0.762
Stonefire,shining-south,Shining South,stone fist,0.737
Streamers,shining-south,Shining South,"shout, greater",0.609
Sun Bolt,shining-south,Shining South,sound burst,0.632
Suspension,shining-south,Shining South,suggestion,0.6
Tidal Wave,shining-south,Shining South,tidal surge,0.667
Wall of Pain,shining-south,Shining South,wall of iron,0.833
Alicorn Lance,silver-marches,Silver Marches,iron silence,0.64
Alustriel's Banner,silver-marches,Silver Marches,nature's favor,0.562
Favor of Yathaghera,silver-marches,Silver Marches,mark of the hunter,0.595
Allegro,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,hallow,0.615
Ambient Song,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,radiant fog,0.609
Blunt Weapon,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,align weapon,0.75
Choir,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,charm,0.6
Crescendo,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,screen,0.667
Easy Math,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,sympathy,0.706
Fanfare,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,flare,0.667
Fine-tuning,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,spell turning,0.583
Follow the Leader,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,flee the scene,0.581
Fortissimo,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,exorcism,0.556
Getaway,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,elemental ward,0.476
Healthful Slumber,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,restful slumber,0.812
Otto's Resistible Dance,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,irresistible dance,0.78
Percussion,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,confusion,0.632
ProtÃ©gÃ©,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,protégé,0.625
Spring Sheath,song-and-silence-a-guidebook-to-bards-and-rogues,Song and Silence: A Guidebook to Bards and Rogues,dispelling breath,0.667
Aboleth Curse,stormwrack,Stormwrack,bestow curse,0.64
Air Breathing,stormwrack,Stormwrack,water breathing,0.857
Airy Water,stormwrack,Stormwrack,animate water,0.696
Blackwater Taint,stormwrack,Stormwrack,black tentacles,0.581
Blackwater Tentacle,stormwrack,Stormwrack,black tentacles,0.824
Control Currents,stormwrack,Stormwrack,control plants,0.733
Dark Tide,stormwrack,Stormwrack,earth glide,0.6
Depthsurge,stormwrack,Stormwrack,resurgence,0.6
Detect Ship,stormwrack,Stormwrack,detect evil,0.727
Disguise Ship,stormwrack,Stormwrack,disguise self,0.769
Doom of the Seas,stormwrack,Stormwrack,cloak of the sea,0.75
Favorable Wind,stormwrack,Stormwrack,control winds,0.593
Fins to Feet,stormwrack,Stormwrack,insightful feint,0.571
Flowsight,stormwrack,Stormwrack,foresight,0.778
Jaws of the Moray,stormwrack,Stormwrack,eyes of the avoral,0.686
Jig of the Waves,stormwrack,Stormwrack,chill of the grave,0.706
Kuo-toa Skin,stormwrack,Stormwrack,metal skin,0.636
Maelstrom,stormwrack,Stormwrack,melt,0.615
Megalodon Empowerment,stormwrack,Stormwrack,necrotic empowerment,0.683
Mordenkainen's Capable Caravel,stormwrack,Stormwrack,bodak's glare,0.465
Mudslide,stormwrack,Stormwrack,mislead,0.533
Planar Navigation,stormwrack,Stormwrack,planar binding,0.645
Pressure Sphere,stormwrack,Stormwrack,resilient sphere,0.71
Quickswim,stormwrack,Stormwrack,quickshift,0.737
Rapture of the Deep,stormwrack,Stormwrack,aspect of the deity,0.684
Red Tide,stormwrack,Stormwrack,tree stride,0.737
Roar of the Waves,stormwrack,Stormwrack,cloak of the sea,0.667
Scales of the Sealord,stormwrack,Stormwrack,scales of the lizard,0.829
Sink,stormwrack,Stormwrack,blink,0.667
Siren's Call,stormwrack,Stormwrack,herald's call,0.64
Steed of the Seas,stormwrack,Stormwrack,cloak of the sea,0.667
Stormrunner's Ward,stormwrack,Stormwrack,order's wrath,0.581
Stormwalk,stormwrack,Stormwrack,stormrage,0.667
Tern's Persistence,stormwrack,Stormwrack,lower spell resistance,0.65
Thalassemia,stormwrack,Stormwrack,"heal, mass",0.571
Tojanida Sight,stormwrack,Stormwrack,overland flight,0.621
Transformation of the Deeps,stormwrack,Stormwrack,transformation,0.683
Turbidity,stormwrack,Stormwrack,vulnerability,0.636
Urchin's Spines,stormwrack,Stormwrack,brain spider,0.593
Wake Trailing,stormwrack,Stormwrack,easy trail,0.609
Water to Acid,stormwrack,Stormwrack,water to poison,0.714
Wave Blessing,stormwrack,Stormwrack,water breathing,0.643
Webfoot,stormwrack,Stormwrack,web,0.6
Augment Object,stronghold-builders-guidebook,Stronghold Builder's Guidebook,animate objects,0.69
Improved Arcane Lock,stronghold-builders-guidebook,Stronghold Builder's Guidebook,arcane lock,0.71
Acid Orb,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,acid fog,0.75
Chain Contingency,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,contingency,0.786
Choke,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,cheat,0.6
Cold Orb,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,hold portal,0.632
Disguise Undead,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,disrupt undead,0.759
Electric Orb,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,necrotic tumor,0.615
Energy Buffer,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,energy ebb,0.696
Feign Death,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,deafening breath,0.667
Filter,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,fear,0.6
Fire Orb,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,fire storm,0.778
Gaze Screen,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,screen,0.706
Great Shout,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,greater status,0.64
Hide Life,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,ice knife,0.667
Ice Burst,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,fireburst,0.778
Indifference,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,iron silence,0.583
"Acid Orb, Lesser",tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,"vigor, lesser",0.759
"Cold Orb, Lesser",tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,"vigor, lesser",0.69
"Electric Orb, Lesser",tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,"telepathic bond, lesser",0.744
"Fire Orb, Lesser",tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,"vigor, lesser",0.759
"Sonic Orb, Lesser",tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,"vigor, lesser",0.733
"Resist Elements, Mass",tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,"resist energy, mass",0.75
"Teleport, Mass",tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,teleport,0.727
Negative Energy Burst,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,negative energy aura,0.878
Negative Energy Ray,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,negative energy aura,0.923
Negative Energy Wave,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,negative energy aura,0.85
Otiluke's Dispelling Screen,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,otiluke's dissolving screen,0.889
Otiluke's Greater Dispelling Screen,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,otiluke's dissolving screen,0.774
Polymorph Other,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,polymorph,0.75
Polymorph Self,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,polymorph,0.783
Sonic Orb,tome-and-blood-a-guidebook-to-wizards-and-sorcerers,Tome and Blood: A Guidebook to Wizards and Sorcerers,sonic weapon,0.667
Absolute Steel,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,alter self,0.667
Action Before Thought,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,probe thoughts,0.629
Adamantine Bones,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,damning darkness,0.625
Adamantine Hurricane,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,damning darkness,0.556
Ancient Mountain Hammer,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,walk the mountain's path,0.553
Assassin's Stance,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,assay resistance,0.727
Aura of Chaos,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,word of chaos,0.769
Aura of Perfect Order,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,aura of terror,0.686
Aura of Triumph,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,aura of terror,0.69
Aura of Tyranny,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,aura of terror,0.69
Avalanche of Blades,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,ring of blades,0.667
Baffling Defense,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,beguiling influence,0.571
Balance on the Sky,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,bite of the king,0.588
Ballista Throw,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,death throes,0.538
Battle Leader's Charge,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,lastai's caress,0.541
Blistering Flourish,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,blistering radiance,0.684
Blood in the Water,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,blood of the martyr,0.757
Bloodletting Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,golem strike,0.645
Bolstering Voice,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,blistering radiance,0.743
Bonecrusher,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,consecrate,0.571
Bonesplitting Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,defenestrating sphere,0.585
Boulder Roll,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,hold person,0.522
Bounding Assault,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,blinding beauty,0.645
Burning Blade,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,burning blood,0.846
Burning Brand,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,burning hands,0.846
Castigating Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,castigate,0.667
Charging Minotaur,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,charm monster,0.6
Child of Shadow,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,path of shadow,0.759
Clarion Call,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,beckoning call,0.615
Claw at the Moon,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,lay of the land,0.581
Clever Positioning,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,energize potion,0.606
Clinging Shadow Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,enervating shadow,0.564
Cloak of Deception,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,sword of deception,0.778
Colossus Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,golem strike,0.667
Comet Throw,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,death throes,0.609
Counter Charge,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,hunters of hades,0.6
Covering Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,vine strike,0.769
Crusader's Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,true strike,0.714
Crushing Vise,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,crushing hand,0.692
Crushing Weight of the Mountain,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,dance of the unicorn,0.549
Dance of the Spider,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,dance of the unicorn,0.769
Dancing Blade Form,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,dancing blade,0.839
Dancing Mongoose,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,dancing lights,0.667
Daunting Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,vine strike,0.692
Dazing Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,vine strike,0.75
Death from Above,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,death throes,0.643
Death in the Dark,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,death throes,0.621
Death Mark,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,death ward,0.8
Defensive Rebuke,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,deafening breath,0.562
Desert Tempest,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,secret chest,0.615
Devastating Throw,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,enervating shadow,0.647
Diamond Defense,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,diamond spray,0.643
Diamond Nightmare Blade,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,nightmare,0.562
Disarming Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,vine strike,0.667
Disrupting Blow,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,disrupting weapon,0.75
Distracting Ember,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,rain of embers,0.645
Divine Surge,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,divine sacrifice,0.714
"Divine Surge, Greater",tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,"vigor, greater",0.686
Doom Charge,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,wood shape,0.571
Douse the Flames,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,produce flame,0.621
Dragon's Flame,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,crown of flame,0.643
Drain Vitality,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,divine agility,0.643
Earthstrike Quake,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,earthquake,0.741
Elder Mountain Hammer,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,earth hammer,0.606
Emerald Razor,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,emerald burst,0.692
Enervating Shadow Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,enervating shadow,0.829
Entangling Blade,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,dancing blade,0.759
Exorcism of Steel,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,bands of steel,0.645
Fan the Flames,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,breath flare,0.615
Feigned Opening,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,sign of sealing,0.6
Feral Death Blow,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,telepathy block,0.645
Finishing Move,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,vanishing weapon,0.6
Fire Riposte,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,fire trap,0.667
Firesnake,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,fire shuriken,0.636
Five-Shadow Creeping Ice Enervating Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,"shadow conjuration, greater",0.464
Flame's Blessing,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,flame blade,0.667
Flanking Maneuver,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,standing wave,0.6
Flashing Sun,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,floating disk,0.64
Flesh Ripper,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,heart ripper,0.667
Foehammer,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,chaos hammer,0.667
Fool's Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,flame strike,0.72
Fountain of Blood,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,oath of blood,0.733
Ghost Blade,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,lightning blade,0.692
Ghostly Defense,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,ghost sound,0.538
Giant Killing Style,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,scintillating scales,0.667
Giant's Stance,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,giant size,0.667
Girallon Windmill Flesh Rip,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,"spirit binding, lesser",0.49
Hamstring Attack,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,blistering radiance,0.571
Hand of Death,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,finger of death,0.714
Hatchling's Flame,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,dancing blade,0.6
Hearing the Air,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,healing touch,0.643
Holocaust Cloak,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,beast claws,0.538
Hunter's Sense,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,sniper's eye,0.615
Hydra Slaying Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,vine strike,0.581
Immortal Fortitude,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,morality undone,0.606
Inferno Blade,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,flame blade,0.667
Inferno Blast,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,ice blast,0.727
Insightful Strike,tome-of-battle-the-book-of-nine-swords,Tome of Battle: The Book of Nine Swords,insightful feint,0.727
